date,open,low,high,close,volume
2015-04-18,"3,455","3,455","3,545","3,455",7.10256397
2015-04-19,"3,460","3,450.01","3,590","3,550",5.98624725
2015-04-20,"3,550","3,450","3,555","3,457",18.86498978
2015-04-21,"3,549","3,470","3,790","3,737",35.00760824
2015-04-22,"3,737","3,606","3,816","3,746",19.02274296
2015-04-23,"3,713","3,625","3,775","3,705",20.63256281
2015-04-24,"3,717","3,605.63","3,717","3,691",9.39048352
2015-04-25,"3,687","3,605.63","3,711","3,675.88",7.89637864
2015-04-26,"3,606.54","3,555","3,708","3,555",3.0794851
2015-04-27,"3,638.79","3,555","3,771","3,605.15",33.06577181
2015-04-28,"3,605.2","3,545","3,771","3,615.42",24.72652182
2015-04-29,"3,615.42","3,480","3,667","3,559.68",16.21227437
2015-04-30,"3,559.68","3,477","3,770","3,701.33",37.78836806
2015-05-01,"3,744","3,685.19","3,754.93","3,727.25",12.49316143
2015-05-02,"3,693","3,690.26","3,762.45","3,762.45",4.64308166
2015-05-03,"3,762.45","3,717.01","3,885","3,831.62",9.81748249
2015-05-04,"3,786.38","3,758.56","3,880","3,806",10.68792323
2015-05-05,"3,800.5","3,717.05","3,806","3,723.53",38.43307804
2015-05-06,"3,733","3,658","3,742","3,690",32.00977669
2015-05-07,"3,690","3,625","3,804.02","3,701",21.78052367
2015-05-08,"3,746.87","3,702.34","3,897","3,813.05",26.86981948
2015-05-09,"3,813.05","3,791.26","3,855","3,791.26",9.25058671
2015-05-10,"3,780.57","3,752.78","3,819.4","3,754",4.13181597
2015-05-11,"3,780","3,727.62","3,820","3,793.53",32.02636725
2015-05-12,"3,793.53","3,726","3,914","3,836",37.47207495
2015-05-13,"3,847","3,705","3,847","3,752",22.2983771
2015-05-14,"3,728.5","3,695","3,765.77","3,735.07",17.79992184
2015-05-15,"3,730","3,695","3,742","3,698",14.52140052
2015-05-16,"3,703","3,690","3,720","3,705",18.88448338
2015-05-17,"3,699","3,699","3,725","3,723",15.18513155
2015-05-18,"3,726","3,690","3,802","3,705",53.51644039
2015-05-19,"3,705","3,660","3,715","3,690",25.05436999
2015-05-20,"3,682","3,660","3,725","3,685.5",34.3840451
2015-05-21,"3,689","3,688.79","3,900","3,715",48.19924104
2015-05-22,"3,715","3,715","3,872","3,812.88",45.46789467
2015-05-23,"3,820","3,720.06","4,000","3,794",38.11933425
2015-05-24,"3,799.64","3,792","3,829.97","3,822.5",8.92067084
2015-05-25,"3,825","3,712.05","3,829.97","3,760",26.32657845
2015-05-26,"3,750","3,712.05","3,775","3,761",17.07372596
2015-05-27,"3,761","3,705.74","3,782","3,759",27.24707539
2015-05-28,"3,761","3,713.47","3,770","3,763.75",25.65792714
2015-05-29,"3,757.5","3,705","3,770","3,757",28.32988657
2015-05-30,"3,757","3,705","3,770","3,707.01",11.20855558
2015-05-31,"3,710","3,705","3,756.18","3,711",6.93530648
2015-06-01,"3,711","3,508.61","3,713.89","3,508.61",59.44084391
2015-06-02,"3,557.63","3,490","3,568","3,568",39.73426212
2015-06-03,"3,520.03","3,515","3,577.22","3,572.67",23.62500631
2015-06-04,"3,572.67","3,508","3,585","3,508",19.69817249
2015-06-05,"3,508","3,501","3,589","3,589",53.80349057
2015-06-06,"3,540.9","3,532","3,589","3,589",3.4651681
2015-06-07,"3,589","3,532","3,592","3,583.95",5.4621948
2015-06-08,"3,532","3,532","3,610","3,566",40.45746368
2015-06-09,"3,566","3,532","3,609.99","3,577",33.99190611
2015-06-10,"3,577","3,546","3,601.5","3,547",22.17847055
2015-06-11,"3,547","3,513.71","3,587.79","3,559",18.6181347
2015-06-12,"3,559","3,496","3,560","3,497.67",24.52411206
2015-06-13,"3,550.17","3,496","3,560","3,556.52",8.86094686
2015-06-14,"3,504.03","3,504.03","3,584.79","3,538",9.37143981
2015-06-15,"3,583.34","3,531.69","3,595","3,543",20.88255031
2015-06-16,"3,594","3,543","3,874","3,806",152.17373161
2015-06-17,"3,806","3,765","3,849.83","3,809",51.14264621
2015-06-18,"3,782","3,758","3,810","3,758",26.95095407
2015-06-19,"3,762.58","3,754.2","3,825","3,818",19.61830973
2015-06-20,"3,817","3,754.64","3,825","3,800",24.84370879
2015-06-21,"3,800","3,754.2","3,810.51","3,810.51",5.95157137
2015-06-22,"3,810.51","3,755","3,820.97","3,819",21.71818953
2015-06-23,"3,819","3,768.48","3,825","3,825",24.24828019
2015-06-24,"3,775","3,662.61","3,825","3,720",30.67798479
2015-06-25,"3,720","3,700","3,760","3,760",28.0769354
2015-06-26,"3,760","3,694","3,770","3,769.01",42.90044444
2015-06-27,"3,716.51","3,716.51","3,860","3,812.66",37.69591345
2015-06-28,"3,812.66","3,800","3,860","3,801",8.69346695
2015-06-29,"3,801","3,800","3,975","3,930",59.30249131
